Product Name,Price,Quantity Available,Specifications
Տեստեր թվային YATO YT-73082,11300,1,
Տեստեր թվային YATO YT-73086,31900,1,
Տեստեր թվային YATO YT-73084,17000,1,
Տեստեր թվային 5 in 1 YATO YT-73087,39000,1,
Տեստեր մատիտի նման UNI-T UT12D,3450,5,
Տեստեր UNI-T UT-61 ձայնով,33000,1,
Տեստեր UNI-T UT-51 ձայնով,15000,1,
Տեստեր UNI-T UT-33D+,6800,1,
Տեստեր UNI-T UT33C,6950,2,
Տեստեր UNI-T UT120C,12000,1,"Մուլտիմետրի չափի լուծում` - 4000 հաշվարկ, Հաստատուն լարման միջակայք` - 600, Փոփոխական լարման միջակայք` - 600, Հաստատուն հոսանքի չափման միջակայք` - 400ՄԱ, Փոփոխական հոսանքի չափման միջակայք` - 400ՄԱ, Քաշ` - 75գ"
Հարթաչափ լազերային UNI-T LM560,116000,1,
Քանոն մետր 1մx32x1.2մմ BERENT BT4176,2800,4,
Քանոն մետր 1.5մ BERENT BT4178,7200,3,
Մետր մեծ ակերով BERENT BT4122,19250,1,
Հարթաչափ 2մ BERENT BT4190,11800,1,
Հարթաչափ 1.5մ BERENT BT4189,8500,1,
Հարթաչափ կապույտ՝ մագնիսով 80սմ BERENT BT4037,4650,1,
Հարթաչափ կապույտ՝ մագնիսով 60սմ BERENT BT4036,4300,2,
Հարթաչափ կապույտ՝ մագնիսով 50սմ BERENT BT4035,3400,2,
Հարթաչափ ալյումինե մագնիսով 80սմ BERENT BT4157,2550,1,
Հարթաչափ ալյումինե մագնիսով 60սմ BERENT BT4156,2100,2,
Հարթաչափ ալյումինե մագնիսով 100սմ BERENT BT4158,3200,2,
Հարթաչափ ալյումինե մագնիսով 45սմ BERENT BT4154,2100,2,
Մետր սև 7.5մ/25մմ BERENT BT4135,2500,5,
Մետր սև 5մ/25մմ BERENT BT4203,1900,3,
Մետր սև 5մ/16մմ BERENT BT4202,1350,9,
Մետր սև 5մ/19մմ BERENT BT4133,1300,1,
Մետր սև 3մ/16մմ BERENT BT4201,1000,3,
Մետր սև 3մ/16մմ BERENT BT4131,900,5,
Մետր սև 10մ/25մմ BERENT BT4205,3500,8,
"Մետր դեղին 7,5մ/25մմ BERENT BT4141",2000,11,
Մետր դեղին 5մ/25մմ BERENT BT4140,1300,19,
Մետր դեղին 5մ/19մմ BERENT BT4139,1000,6,
Մետր դեղին 3մ/16մմ BERENT BT4149,700,7,
Մետր դեղին 3մ/13մմ BERENT BT4137,650,6,
Մետր դեղին 2մ/13մմ BERENT BT4136,650,7,
Մետր դեղին 10մ/25մմ BERENT BT4151,2400,5,
Մետր 5մ ZUBR 34016-5,1500,3,"Երկարություն` - 5 մ․, Լայնություն` - 19 մմ․"
Մետր 5մ/25մմ YATO YT-7152,2100,6,"Երկարություն` - 5 մ․, Լայնություն` - 25 մմ․"
Մետր 3մ ZUBR 34016-3,1150,5,"Երկարություն` - 3 մ․, Լայնություն` - 16 մմ․"
Մետր 3մ/16մմ YATO YT-7150,1400,7,
Մետր 2մ/16մմ YATO YT-7149,1100,6,
Մետր 7.5մ ZUBR 34016-8,2450,5,"Երկարություն` - 7,5 մ․, Լայնություն` - 25 մմ․"
Մետր 50մ մետաղից BERENT BT4147,4800,3,
Մետր 30մ մետաղից BERENT BT4146,3550,3,
Մետր 20մ մետաղից BERENT BT4145,2900,3,
Մետր 15մ մետաղից BERENT BT4144,2450,5,
Մետր 10մ մետաղից BERENT BT4143,1450,7,
Մետր 50մ կտորից BERENT BT4033,3500,1,
Մետր 30մ կտորից BERENT BT4032,2600,1,
Մետր 20մ կտորից BERENT BT4031,2200,2,
Մետր 15մ կտորից BERENT BT4030,1850,2,
Մետր 10մ կտորից BERENT BT4029,1550,6,
